file,rule_before,rule_after,count
dynamics_integrator_matrix.cpp,Derivative(1)(dphi2)(t),nu(3),58
dynamics_integrator_matrix.cpp,Derivative(1)(dphi3)(t),nu(4),24
dynamics_integrator_matrix.cpp,Derivative(1)(dphi4)(t),nu(5),8
dynamics_integrator_matrix.cpp,Derivative(1)(dphi5)(t),nu(6),162
dynamics_integrator_matrix.cpp,Derivative(1)(dphi6)(t),nu(7),54
dynamics_integrator_matrix.cpp,Derivative(1)(dphi7)(t),nu(8),4
dynamics_integrator_matrix.cpp,Derivative(1)(dphi8)(t),nu(9),162
dynamics_integrator_matrix.cpp,Derivative(1)(dphi9)(t),nu(10),54
dynamics_integrator_matrix.cpp,Derivative(1)(dphi10)(t),nu(11),4
dynamics_integrator_matrix.cpp,dphi2(t),u_kinematics(3),956
dynamics_integrator_matrix.cpp,dphi3(t),u_kinematics(4),300
dynamics_integrator_matrix.cpp,dphi4(t),u_kinematics(5),72
dynamics_integrator_matrix.cpp,dphi5(t),u_kinematics(6),2682
dynamics_integrator_matrix.cpp,dphi6(t),u_kinematics(7),644
dynamics_integrator_matrix.cpp,dphi7(t),u_kinematics(8),36
dynamics_integrator_matrix.cpp,dphi8(t),u_kinematics(9),2682
dynamics_integrator_matrix.cpp,dphi9(t),u_kinematics(10),644
dynamics_integrator_matrix.cpp,dphi10(t),u_kinematics(11),36
dynamics_integrator_matrix.cpp,phi1(t),x_old[4],146082
dynamics_integrator_matrix.cpp,phi2(t),x_old[6],11274
dynamics_integrator_matrix.cpp,phi3(t),x_old[8],2904
dynamics_integrator_matrix.cpp,phi4(t),x_old[10],478
dynamics_integrator_matrix.cpp,phi5(t),x_old[12],31035
dynamics_integrator_matrix.cpp,phi6(t),x_old[14],5677
dynamics_integrator_matrix.cpp,phi7(t),x_old[16],243
dynamics_integrator_matrix.cpp,phi8(t),x_old[18],31035
dynamics_integrator_matrix.cpp,phi9(t),x_old[20],5677
dynamics_integrator_matrix.cpp,phi10(t),x_old[22],243
dynamics_integrator_matrix.cpp,thetap0(t),Thetap0,208672
dynamics_integrator_matrix.cpp,thetap1(t),Thetap1,125778
dynamics_integrator_matrix.cpp,thetap2(t),Thetap2,9408
dynamics_integrator_matrix.cpp,thetap3(t),Thetap3,2911
dynamics_integrator_matrix.cpp,thetap4(t),Thetap4,529
dynamics_integrator_matrix.cpp,thetap5(t),Thetap5,25792
dynamics_integrator_matrix.cpp,thetap6(t),Thetap6,4427
dynamics_integrator_matrix.cpp,thetap7(t),Thetap7,529
dynamics_integrator_matrix.cpp,thetap8(t),Thetap8,25792
dynamics_integrator_matrix.cpp,thetap9(t),Thetap9,4427
dynamics_integrator_matrix.cpp,thetap10(t),Thetap10,529
dynamics_integrator_matrix.cpp,uThetap10,Thetap10,529
dynamics_integrator_matrix.cpp,Derivative(1)(delta1d)(t),Ddelta1d,56
dynamics_integrator_matrix.cpp,Derivative(1)(delta2d)(t),Ddelta2d,56
dynamics_integrator_matrix.cpp,Derivative(1)(delta3d)(t),Ddelta3d,56
dynamics_integrator_matrix.cpp,Derivative(2)(delta1d)(t),DDdelta1d,18
dynamics_integrator_matrix.cpp,Derivative(2)(delta2d)(t),DDdelta2d,18
dynamics_integrator_matrix.cpp,Derivative(2)(delta3d)(t),DDdelta3d,18
dynamics_integrator_matrix.cpp,Derivative(3)(delta1d)(t),DDDdelta1d,4
dynamics_integrator_matrix.cpp,Derivative(3)(delta2d)(t),DDDdelta2d,4
dynamics_integrator_matrix.cpp,Derivative(3)(delta3d)(t),DDDdelta3d,4
dynamics_integrator_matrix.cpp,delta1d(t),delta1d,162
dynamics_integrator_matrix.cpp,delta2d(t),delta2d,162
dynamics_integrator_matrix.cpp,delta3d(t),delta3d,162
dynamics_integrator_matrix.cpp,c(s(t)),sr.Cs,82852
dynamics_integrator_matrix.cpp,d(t),sr.d,46168
dynamics_integrator_matrix.cpp,Derivative(1)(c)(s(t)),sr.Cs1,4128
dynamics_integrator_matrix.cpp,Derivative(2)(c)(s(t)),sr.Cs2,54
dynamics_integrator_matrix.cpp,Pi,PAI,48031
